filename,sample percents,3 colors centers,4 colors centers,5 colors centers,6 colors centers,7 colors centers,8 colors centers,9 colors centers,10 colors centers
tennessee_0025_1024x1024@2x.jpg,5,0.0 in 0.3845515251159668seconds,12.28594359862068 in 0.633124589920044seconds,24.265265666794843 in 0.7830812931060791seconds,20.47565217238906 in 0.9358065128326416seconds,33.888935588594634 in 0.9151532649993896seconds,27.197429128605215 in 1.0647218227386475seconds,28.374113180746424 in 1.4721288681030273seconds,523.6886061458061 in 1.3769185543060303seconds
tennessee_0025_1024x1024@2x.jpg,10,0.0 in 0.666388750076294seconds,13.326604483909207 in 0.833096981048584seconds,24.265265666794843 in 1.1662111282348633seconds,21.05649948681759 in 1.6171674728393555seconds,30.690039823853347 in 1.8650164604187012seconds,23.345028673323373 in 1.9326627254486084seconds,28.475649146225376 in 2.649094820022583seconds,526.8372412358551 in 2.5481438636779785seconds
tennessee_0025_1024x1024@2x.jpg,15,0.0 in 0.8061773777008057seconds,13.161553686843826 in 1.1441562175750732seconds,18.919108770208805 in 1.570469617843628seconds,19.10616887442486 in 2.178251266479492seconds,27.331606396291722 in 2.4991672039031982seconds,25.517531779921455 in 2.915672779083252seconds,28.279213710721734 in 3.6987547874450684seconds,529.6833833813507 in 4.215631723403931seconds
tennessee_0025_1024x1024@2x.jpg,20,0.0 in 1.1158850193023682seconds,13.006397591768797 in 1.4661612510681152seconds,18.583464124931798 in 2.082636833190918seconds,18.60215170449395 in 3.0989785194396973seconds,21.84523257866513 in 3.315537214279175seconds,24.699700881106473 in 3.8652963638305664seconds,30.850518187690138 in 4.381900072097778seconds,526.4897576600805 in 5.748027563095093seconds
tennessee_0025_1024x1024@2x.jpg,25,0.0 in 1.3994982242584229seconds,11.464089183493986 in 1.7994146347045898seconds,24.950669501767955 in 2.3991994857788086seconds,16.24246556926859 in 3.7154006958007812seconds,391.78291111719955 in 3.715433359146118seconds,22.682612307840117 in 5.198209524154663seconds,26.693427273094827 in 5.598113298416138seconds,525.6510686117047 in 5.981310844421387seconds
tennessee_0025_1024x1024@2x.jpg,30,0.0 in 1.5994298458099365seconds,13.161553686843826 in 2.0659923553466797seconds,17.97971825700655 in 3.165580987930298seconds,17.004698549670376 in 4.198532581329346seconds,395.53285017539514 in 4.448522567749023seconds,25.176849720479552 in 5.399221420288086seconds,27.45331421507571 in 7.879613399505615seconds,373.9500824859257 in 7.93065333366394seconds
tennessee_0025_1024x1024@2x.jpg,35,0.0 in 1.732740879058838seconds,13.161553686843826 in 2.4325027465820312seconds,15.756831110040425 in 3.832057237625122seconds,17.555181928594152 in 4.850362539291382seconds,19.974485111019327 in 5.212762117385864seconds,22.05222486503136 in 6.498929262161255seconds,26.624887090329523 in 8.680373191833496seconds,523.3263334286621 in 8.197195291519165seconds
tennessee_0025_1024x1024@2x.jpg,40,0.0 in 1.9493608474731445seconds,13.161553686843826 in 2.7990338802337646seconds,17.97971825700655 in 4.348538875579834seconds,19.6936559517564 in 5.9146647453308105seconds,22.86537595671984 in 6.681078195571899seconds,24.577779571886083 in 7.22343111038208seconds,29.79308810205478 in 9.420928478240967seconds,526.8636587353654 in 9.065144538879395seconds
tennessee_0025_1024x1024@2x.jpg,45,0.0 in 2.267315626144409seconds,12.504750068782513 in 3.2292568683624268seconds,16.717659075489706 in 4.183475971221924seconds,22.66975368718965 in 6.76401948928833seconds,27.9943181171601 in 8.180973529815674seconds,25.643523905909642 in 8.412195205688477seconds,29.959899618373328 in 9.263500452041626seconds,527.0537238425698 in 11.147192478179932seconds
tennessee_0025_1024x1024@2x.jpg,50,0.0 in 2.3326032161712646seconds,12.504750068782513 in 3.3978519439697266seconds,15.756831110040425 in 5.497150659561157seconds,21.181091909855752 in 8.601001977920532seconds,18.891736197788248 in 8.561809539794922seconds,24.1207494809613 in 9.699925184249878seconds,29.79308810205478 in 10.675538301467896seconds,525.5820443547659 in 11.56173062324524seconds
